ID_Produit,Quantité_En_Stock,Date_Mise_A_Jour
1,142,13-10-2023
2,72,13-10-2023
3,148,13-10-2023
4,64,13-10-2023
5,80,13-10-2023
6,122,13-10-2023
7,144,13-10-2023
8,111,13-10-2023
9,56,13-10-2023
10,47,13-10-2023
11,41,13-10-2023
12,31,13-10-2023
13,55,13-10-2023
14,52,13-10-2023
15,43,13-10-2023
16,67,13-10-2023
17,135,13-10-2023
18,108,13-10-2023
19,70,13-10-2023
20,80,13-10-2023
21,111,13-10-2023
22,55,13-10-2023
23,92,13-10-2023
24,120,13-10-2023
25,137,13-10-2023
26,36,13-10-2023
27,95,13-10-2023
28,70,13-10-2023
29,66,13-10-2023
30,89,13-10-2023
31,66,13-10-2023
32,59,13-10-2023
33,72,13-10-2023
34,57,13-10-2023
35,85,13-10-2023
36,147,13-10-2023
37,136,13-10-2023
38,144,13-10-2023
39,47,13-10-2023
40,74,13-10-2023
41,70,13-10-2023
42,146,13-10-2023
43,86,13-10-2023
44,33,13-10-2023
45,74,13-10-2023
46,76,13-10-2023
47,80,13-10-2023
48,56,13-10-2023
49,38,13-10-2023
50,65,13-10-2023
